date,state_id,state_label,state_prob_0,state_prob_1,state_prob_2,state_prob_3
2021-02-05,1,state_1,6.6679389171078275e-146,0.9999999999957758,0.0,4.223648840398233e-12
2021-02-08,1,state_1,3.1376568984767124e-150,0.9999999999982663,0.0,1.7338197134099993e-12
2021-02-09,1,state_1,2.57246071319101e-153,0.9999999999995985,0.0,4.018982048326692e-13
2021-02-10,1,state_1,1.3831816890195158e-155,0.9999999999998472,0.0,1.5222395559739172e-13
2021-02-11,1,state_1,2.0674310808219216e-158,0.999999999999968,0.0,3.222752025898821e-14
2021-02-12,1,state_1,3.2785487441258294e-162,0.9999999999999964,0.0,4.248147893158732e-15
2021-02-16,1,state_1,2.400594714752592e-165,1.0,0.0,3.7137098829938656e-16
2021-02-17,1,state_1,3.2280977032158133e-167,1.0,0.0,1.41687517900726e-16
2021-02-18,1,state_1,1.6580180073612204e-167,1.0,0.0,6.535590214519278e-17
2021-02-19,1,state_1,1.4653523376681429e-170,1.0,0.0,6.043417582686966e-18
2021-02-22,1,state_1,3.2726226715057588e-171,1.0,0.0,1.511219468358779e-18
2021-02-23,1,state_1,9.062171713144253e-173,1.0,0.0,5.526899333299258e-19
2021-02-24,1,state_1,1.65577038236307e-177,1.0,0.0,1.193021525272815e-19
2021-02-25,1,state_1,3.902938228162653e-174,1.0,0.0,3.9584643485035243e-19
2021-02-26,1,state_1,1.1112954561555192e-171,1.0,0.0,6.845803143552203e-19
2021-03-01,1,state_1,6.067747497399201e-174,1.0,0.0,2.6641240258272662e-19
2021-03-02,1,state_1,8.016925643091802e-169,1.0,0.0,3.7118801610240914e-19
2021-03-03,1,state_1,1.052568959795948e-166,1.0,0.0,6.993334640091541e-19
2021-03-04,1,state_1,5.7371896299702066e-164,1.0,0.0,8.264056791183526e-18
2021-03-05,1,state_1,2.318436299826491e-166,1.0,0.0,7.463258237824416e-18
2021-03-08,1,state_1,1.6148227078664016e-165,1.0,0.0,3.27901389448279e-17
2021-03-09,1,state_1,5.389602287728045e-168,1.0,0.0,3.084482793762519e-17
2021-03-10,1,state_1,3.957204263565168e-169,1.0,0.0,2.1939156577225555e-17
2021-03-11,1,state_1,1.992210186572653e-171,1.0,0.0,1.1381660926651412e-17
2021-03-12,1,state_1,6.52903994521785e-172,1.0,0.0,1.4580515235590247e-17
2021-03-15,1,state_1,2.2852644460075828e-173,1.0,0.0,1.8408868193293587e-17
2021-03-16,1,state_1,5.9430438497439e-173,1.0,0.0,2.3739247211897833e-17
2021-03-17,1,state_1,3.228623045170936e-175,1.0,0.0,1.733118646559675e-17
2021-03-18,1,state_1,7.877750113177344e-172,1.0,0.0,1.9564657227434608e-16
2021-03-19,1,state_1,2.350961012520849e-173,1.0,0.0,4.817069632837853e-17
2021-03-22,1,state_1,3.63718643630135e-173,1.0,0.0,1.4512431957079413e-16
2021-03-23,1,state_1,2.624811043947104e-169,1.0,0.0,1.3768995280931986e-15
2021-03-24,1,state_1,3.6033966072535397e-168,1.0,0.0,1.4330949372361218e-15
2021-03-25,1,state_1,3.3009087109940622e-170,0.9999999999999964,0.0,1.788165026457027e-15
2021-03-26,1,state_1,2.007691201247822e-173,0.9999999999999964,0.0,4.227217782539247e-15
2021-03-29,1,state_1,2.0918027317019937e-170,0.9999999999999929,0.0,7.656806534804161e-15
2021-03-30,1,state_1,1.1968886314705491e-170,0.9999999999999858,0.0,1.3586771468341325e-14
2021-03-31,1,state_1,6.591054805307143e-171,0.9999999999999822,0.0,1.8088966278163502e-14
2021-04-01,1,state_1,3.2970205678506805e-173,0.9999999999999787,0.0,1.9717193155452514e-14
2021-04-02,1,state_1,1.0039192536213772e-168,0.9999999999999609,0.0,3.948195687431799e-14
2021-04-05,1,state_1,4.568699626778427e-171,0.9999999999999503,0.0,4.9915648329686465e-14
2021-04-06,1,state_1,3.6295511191303524e-170,0.9999999999999538,0.0,4.7484383557923046e-14
2021-04-07,1,state_1,3.34759303474659e-170,0.999999999999936,0.0,6.373009494349103e-14
2021-04-08,1,state_1,8.244612700638947e-174,0.9999999999999538,0.0,4.6389087862361933e-14
2021-04-09,1,state_1,5.111478918281659e-177,0.9999999999999574,0.0,4.111087948410607e-14
2021-04-12,1,state_1,2.6368567058342067e-179,0.999999999999968,0.0,3.0449578896383384e-14
2021-04-13,1,state_1,1.5801928168014832e-183,0.9999999999999716,0.0,2.8091360618501465e-14
2021-04-14,1,state_1,3.933363299040628e-185,0.9999999999999751,0.0,2.5324012938557508e-14
2021-04-15,1,state_1,1.4077687287879614e-192,0.999999999999968,0.0,3.275338428463906e-14
2021-04-16,1,state_1,2.177155330125999e-195,0.9999999999999787,0.0,2.245312296121066e-14
2021-04-19,1,state_1,1.3724167991251905e-195,0.9999999999999751,0.0,2.319968610322741e-14
2021-04-20,1,state_1,3.67439065834333e-196,0.999999999999968,0.0,3.3722687661264405e-14
2021-04-21,1,state_1,2.2857104580255055e-200,0.999999999999968,0.0,3.1002478669471297e-14
2021-04-22,1,state_1,4.583796891510651e-195,0.999999999999936,0.0,6.334339921967649e-14
2021-04-23,1,state_1,3.127586847833808e-197,0.999999999999929,0.0,7.024233536162475e-14
2021-04-26,1,state_1,1.324605849873468e-197,0.999999999999936,0.0,6.530670408189636e-14
