date,MRF,regime
1923-09-01,-1.9307862689136686,risk_off
1923-10-01,-1.9320239700898953,risk_off
1923-11-01,-1.9327661309926296,risk_off
1923-12-01,-1.935989677577128,risk_off
1924-01-01,-1.931283651344312,risk_off
1924-02-01,-1.9292978059360402,risk_off
1924-03-01,-1.9327661309926296,risk_off
1924-04-01,-1.938465079929582,risk_off
1924-05-01,-1.9444147906679359,risk_off
1924-06-01,-1.949620498346405,risk_off
1924-07-01,-1.9503668004212995,risk_off
1924-08-01,-1.9454100123870814,risk_off
1924-09-01,-1.9419375461583317,risk_off
1924-10-01,-1.9379736808282493,risk_off
1924-11-01,-1.9345053557716598,risk_off
1924-12-01,-1.9285597862054662,risk_off
1925-01-01,-1.9236029981712481,risk_off
1925-02-01,-1.9221186763657798,risk_off
