,PCA,Correlation,Volatility,Skewness,Kurtosis,Entropy,Anomaly,Clustering,Regime_GMM,HMM,Magnitude,Drawdown,Momentum,Network,Dispersion,Covariance
1990-12-19,0.3018707125738081,0.27349387495395977,0.06256882635645919,0.764782167239361,0.06293400719498392,0.8078551632524295,0.5,0.6729223342782186,0.25635783105030246,0.0,0.07618531808440465,0.0,0.3127915811051003,0.03184713375796178,0.04411658830372812,0.4811285102680713
1990-12-24,0.2387180825087045,0.2164675333352619,0.06356369538612473,0.7260747496634693,0.07185299824172725,0.808403452515347,0.5,0.6357581066113089,0.21202329267486936,0.0,0.07480752245860914,0.0,0.1822632554429966,0.03184713375796178,0.04626053741270586,0.5408351724868227
1990-12-29,0.2581559677221144,0.23379634384854772,0.07166970960635251,0.6867660941948326,0.07034677757669176,0.8106412034355077,0.5,0.6461206106744957,0.21615487504234726,0.0,0.07870728975503673,0.0,0.25541526227696243,0.03503184713375796,0.05327658881563253,0.6281287171580352
1991-01-03,0.24692628595918836,0.23260420064879783,0.08035877798287042,0.7072662008013589,0.057955237433092534,0.8016890596573758,0.5,0.6428407406589783,0.20967074754814105,0.0,0.08352197657049475,0.0,0.25027705172628895,0.028662420382165602,0.058282144007491564,0.6493784156293415
1991-01-08,0.3366530857523141,0.3246575075969785,0.08667938234025444,0.6489553320330121,0.05116679579272254,0.8085436465010791,0.5,0.6778975965787042,0.2374098529953561,0.0,0.0935889227870913,0.0,0.25950869010539207,0.03503184713375796,0.06421429659890851,0.662797499171095
1991-01-13,0.25809171537181336,0.2631907932175344,0.09701173978666709,0.6099703785798973,0.054324604866232425,0.8115648762380944,0.5,0.6235695180374279,0.22238204289416363,0.0,0.10702166071755789,0.0,0.2656016987879086,0.04140127388535032,0.07362148249408347,0.58777615798963
1991-01-18,0.5145642557775842,0.5165288465182566,0.11985160772342718,0.8232511203733075,0.13372441734137128,0.8615901381478608,0.5,0.7376916266204631,0.0045250748755841525,0.0,0.12438753553049946,0.0,0.263109112921251,0.08280254777070065,0.08198566884000966,0.5929979772021906
1991-01-23,0.502502698952874,0.5061425328075037,0.12559412320216604,0.8159715983104845,0.1175092718986217,0.8606014457205404,0.5,0.7344260259738051,0.2755197155406178,0.0,0.1316949936679544,0.0,0.42518436784782154,0.0732484076433121,0.08861516960544993,0.5081948243039943
1991-01-28,0.5001037329477594,0.5009719302650579,0.1327222678582949,0.8187186209746833,0.1015304524813927,0.8610818734275989,0.5,0.7087515461941842,0.3232878584743835,0.0,0.14294466442269319,0.0,0.37729000077850094,0.06687898089171974,0.09828799554004482,0.4624391008844663
1991-02-02,0.47604879466990263,0.4788193853592065,0.13476780630860524,0.8508592085133437,0.10732799455528226,0.8635595448988217,0.5,0.727656320905048,0.26567922115480497,0.0,0.14619578609788003,0.0,0.3535844132269131,0.06369426751592357,0.10311959825388253,0.4469061699899895
1991-02-07,0.4733378338889718,0.4741062882803413,0.13766928614868312,0.8544899919930443,0.1053546919735946,0.8633588982491822,0.5,0.7256923383566446,0.0045250752431804705,0.0,0.1506784936112764,0.0,0.42291721618222994,0.0732484076433121,0.1084582731038902,0.3583709108596958
1991-02-12,0.482998998749767,0.48684929754197265,0.13556166239233428,0.8570601412658778,0.11593889117578986,0.8628612717125571,0.5,0.7427480969679463,0.29561374170279686,0.0,0.14992646212339103,0.0,0.4432334089400177,0.0732484076433121,0.10562352103195298,0.29813390596336825
1991-02-17,0.4653067283802242,0.47678394132170177,0.13545897941593601,0.8620846838716195,0.11829165057031255,0.8634809415806977,0.5,0.7237235336435622,0.024355692447104848,0.0,0.1480063195076345,0.0,0.481844916221977,0.06050955414012739,0.10371492183180779,0.29915336757045763
1991-02-22,0.4732423252758571,0.489545866292994,0.13227892854330833,0.8702388215957043,0.1261980471840306,0.8628689825053434,0.5,0.7174341779326032,0.004525075243162969,0.0,0.14299375317264962,0.0,0.5077180090790989,0.07006369426751592,0.09765801839538275,0.2977158422050167
1991-02-27,0.4369413492063856,0.4533614603981667,0.13247041588252656,0.8653707364049433,0.12494328721730583,0.8635385966249458,0.5,0.6921531769642836,0.004525075243171828,0.0,0.14465704495355988,0.0,0.5214989766989175,0.06369426751592357,0.09917285087455713,0.5831150295259219
1991-03-04,0.4663705680684487,0.48818201790690574,0.12557077111914305,0.8344005208670805,0.12269145009349405,0.8804080687847889,0.5,0.690240318458091,0.004524776740095985,0.0,0.13754907920236953,0.0,0.45535853255013814,0.07643312101910828,0.08937037315506038,0.5400089695339284
1991-03-09,0.5003285724970826,0.5190479661592053,0.11623953365672572,0.8581482218666034,0.14745342239757656,0.8783806756285825,0.5,0.739388090196425,0.0045232047963480035,0.0,0.12539666705444488,0.0,0.5473183918773796,0.08598726114649681,0.07869805468524173,0.6334357531492041
1991-03-14,0.4354336839874346,0.4487388408349195,0.10657148474146992,0.9386603713857894,0.1555941346880666,0.8663929261295946,0.5,0.7292434597569349,0.004520457927145184,0.0,0.11492924535392923,0.0,0.5877901247648855,0.04777070063694268,0.07266687785805047,0.609837175712063
1991-03-19,0.4354088947625618,0.44073059829624756,0.09855627285535026,0.9600688686223524,0.17308265070819584,0.8737191500288287,0.5,0.7524197488367084,0.004524476141138077,0.0,0.10573899184490251,0.0,0.8217997455989757,0.057324840764331204,0.06727019908234652,0.5447585665937875
