,consensus
2012-11-07,0.125
2012-11-12,0.0625
2012-11-17,0.125
2012-11-22,0.125
2012-11-27,0.1875
2012-12-02,0.125
2012-12-07,0.125
2012-12-12,0.125
2012-12-17,0.125
2012-12-22,0.0
2012-12-27,0.0
2013-01-01,0.0625
2013-01-06,0.1875
2013-01-11,0.125
2013-01-16,0.125
2013-01-21,0.125
2013-01-26,0.1875
2013-01-31,0.125
2013-02-05,0.0
2013-02-10,0.125
2013-02-15,0.0625
2013-02-20,0.0
2013-02-25,0.0625
2013-03-02,0.0625
2013-03-07,0.125
2013-03-12,0.0625
2013-03-17,0.0625
2013-03-22,0.0625
2013-03-27,0.0
2013-04-01,0.0625
2013-04-06,0.0
2013-04-11,0.0
2013-04-16,0.0625
2013-04-21,0.0625
2013-04-26,0.0625
2013-05-01,0.125
2013-05-06,0.0
2013-05-11,0.0625
2013-05-16,0.0625
2013-05-21,0.125
2013-05-26,0.125
2013-05-31,0.0625
2013-06-05,0.125
2013-06-10,0.0625
2013-06-15,0.0625
2013-06-20,0.0625
2013-06-25,0.0625
2013-06-30,0.0625
2013-07-05,0.0625
2013-07-10,0.0625
2013-07-15,0.0625
2013-07-20,0.0625
2013-07-25,0.0625
2013-07-30,0.0625
2013-08-04,0.0625
2013-08-09,0.0625
2013-08-14,0.0625
2013-08-19,0.0625
2013-08-24,0.0
2013-08-29,0.0
2013-09-03,0.0
2013-09-08,0.0
2013-09-13,0.0
2013-09-18,0.0
2013-09-23,0.0
2013-09-28,0.0
2013-10-03,0.0
2013-10-08,0.0
2013-10-13,0.0
2013-10-18,0.0
2013-10-23,0.0
2013-10-28,0.0625
2013-11-02,0.0625
2013-11-07,0.0
2013-11-12,0.0
2013-11-17,0.0
2013-11-22,0.125
2013-11-27,0.125
2013-12-02,0.0625
2013-12-07,0.0625
2013-12-12,0.0625
2013-12-17,0.0625
2013-12-22,0.0
2013-12-27,0.0
2014-01-01,0.0
2014-01-06,0.0625
2014-01-11,0.0
2014-01-16,0.0
2014-01-21,0.0
2014-01-26,0.0
2014-01-31,0.0
2014-02-05,0.0625
2014-02-10,0.125
2014-02-15,0.1875
2014-02-20,0.1875
2014-02-25,0.1875
2014-03-02,0.125
2014-03-07,0.125
2014-03-12,0.0
2014-03-17,0.0625
2014-03-22,0.0
2014-03-27,0.0
2014-04-01,0.0
2014-04-06,0.0625
2014-04-11,0.0
2014-04-16,0.0625
2014-04-21,0.0
2014-04-26,0.0625
2014-05-01,0.0625
2014-05-06,0.125
2014-05-11,0.125
2014-05-16,0.0625
2014-05-21,0.0625
2014-05-26,0.0625
2014-05-31,0.0625
2014-06-05,0.0625
2014-06-10,0.0625
2014-06-15,0.0625
2014-06-20,0.0625
2014-06-25,0.0625
2014-06-30,0.0625
2014-07-05,0.0
2014-07-10,0.0
2014-07-15,0.0625
2014-07-20,0.125
2014-07-25,0.125
2014-07-30,0.0
2014-08-04,0.0
2014-08-09,0.0625
2014-08-14,0.0
2014-08-19,0.0
2014-08-24,0.0
2014-08-29,0.0
2014-09-03,0.125
2014-09-08,0.125
2014-09-13,0.0625
2014-09-18,0.0625
2014-09-23,0.0625
2014-09-28,0.0
2014-10-03,0.125
2014-10-08,0.0625
2014-10-13,0.125
2014-10-18,0.125
2014-10-23,0.0625
2014-10-28,0.0
2014-11-02,0.0625
2014-11-07,0.0625
2014-11-12,0.0625
2014-11-17,0.0
2014-11-22,0.0
2014-11-27,0.0625
2014-12-02,0.0625
2014-12-07,0.0625
2014-12-12,0.0625
2014-12-17,0.0625
2014-12-22,0.0625
2014-12-27,0.0625
2015-01-01,0.0625
2015-01-06,0.0625
2015-01-11,0.0625
2015-01-16,0.0625
2015-01-21,0.0625
2015-01-26,0.0625
2015-01-31,0.1875
2015-02-05,0.25
2015-02-10,0.125
2015-02-15,0.125
2015-02-20,0.125
2015-02-25,0.125
2015-03-02,0.0625
2015-03-07,0.0625
2015-03-12,0.125
2015-03-17,0.125
2015-03-22,0.125
2015-03-27,0.0625
2015-04-01,0.125
2015-04-06,0.125
2015-04-11,0.125
2015-04-16,0.1875
2015-04-21,0.0625
2015-04-26,0.1875
2015-05-01,0.1875
2015-05-06,0.0625
2015-05-11,0.0625
2015-05-16,0.0625
2015-05-21,0.0625
2015-05-26,0.0
2015-05-31,0.0
2015-06-05,0.0625
2015-06-10,0.0625
2015-06-15,0.0625
2015-06-20,0.0
2015-06-25,0.0
2015-06-30,0.0625
2015-07-05,0.0625
2015-07-10,0.0625
2015-07-15,0.0625
